model,house,dataset,data_mode,target_unit,mae,rmse,r2,negative_predictions_clipped,alpha,train_rows,test_rows,n_features
mlp_regression,house1,REDD,standard,StandardScaled,0.13163939487436002,0.4080471373812793,0.558154042160665,0,,812.0,233.0,11.0
mlp_regression,house2,REDD,standard,StandardScaled,0.34114232536511113,0.5457430685805986,0.6691548738163494,0,,679.0,195.0,11.0
mlp_regression,house3,REDD,standard,StandardScaled,0.15900535052401593,0.22107318777475363,0.48732609408484895,0,,562.0,161.0,10.0
adaptive_ewma_baseline,house4,REDD,standard,StandardScaled,0.24751588624122123,0.31357054717929383,0.018146039811116732,0,0.05,,,
mlp_regression,house5,REDD,standard,StandardScaled,0.17837328604317307,0.25731190489306466,0.23694392977363277,0,,760.0,218.0,10.0
mlp_regression,house6,UK-DALE,standard,StandardScaled,0.19410551946216348,0.37411006712521777,0.8805190196938867,0,,105861.0,30247.0,10.0
mlp_regression,house7,UK-DALE,standard,StandardScaled,0.1887289873095649,0.39536028544920027,0.8180179637767373,0,,13427.0,3837.0,11.0
mlp_regression,house8,UK-DALE,standard,StandardScaled,0.41003573821110895,0.7939406055465228,0.513422087136912,0,,2468.0,706.0,6.0
mlp_regression,house9,UK-DALE,standard,StandardScaled,0.3037845076890162,0.5984899728493837,0.5822724334508511,0,,10475.0,2994.0,8.0
mlp_regression,house10,UK-DALE,standard,StandardScaled,0.26474919265293156,0.5443794456950553,0.7498817703815633,0,,8873.0,2536.0,11.0
