model,house,dataset,data_mode,target_unit,mae,rmse,r2,negative_predictions_clipped,alpha,train_rows,test_rows,n_features
naive_baseline,house1,REDD,standard,StandardScaled,0.20200739414844238,0.4496175133886587,0.46354085361383457,0,,,,
adaptive_ewma_baseline,house1,REDD,standard,StandardScaled,0.2760152852051485,0.5886454126431051,0.08048727631264352,0,0.05,,,
mlp_regression,house1,REDD,standard,StandardScaled,0.13163939487436002,0.4080471373812793,0.558154042160665,0,,812.0,233.0,11.0
naive_baseline,house2,REDD,standard,StandardScaled,0.7582180758725802,0.9643199828788571,-0.032976917604553346,0,,,,
adaptive_ewma_baseline,house2,REDD,standard,StandardScaled,0.6497908253220174,0.9219202336112426,0.05586308709609311,0,0.05,,,
mlp_regression,house2,REDD,standard,StandardScaled,0.34114232536511113,0.5457430685805986,0.6691548738163494,0,,679.0,195.0,11.0
naive_baseline,house3,REDD,standard,StandardScaled,0.16183549341001044,0.2536828349189198,0.324926234876427,0,,,,
adaptive_ewma_baseline,house3,REDD,standard,StandardScaled,0.25694014712358615,0.3235832549400731,-0.09835098694676381,0,0.05,,,
mlp_regression,house3,REDD,standard,StandardScaled,0.15900535052401593,0.22107318777475363,0.48732609408484895,0,,562.0,161.0,10.0
naive_baseline,house4,REDD,standard,StandardScaled,0.3222513532496824,0.4210810164856772,-0.770547953792386,0,,,,
adaptive_ewma_baseline,house4,REDD,standard,StandardScaled,0.24751588624122123,0.31357054717929383,0.018146039811116732,0,0.05,,,
mlp_regression,house4,REDD,standard,StandardScaled,0.28460109311960535,0.3491851910155758,-0.21755335671805254,0,,639.0,183.0,9.0
naive_baseline,house5,REDD,standard,StandardScaled,0.1441611184347643,0.21630052579825498,0.4607975683714848,0,,,,
adaptive_ewma_baseline,house5,REDD,standard,StandardScaled,0.1818320027895369,0.2610691962394021,0.21449680483183964,0,0.05,,,
mlp_regression,house5,REDD,standard,StandardScaled,0.17837328604317307,0.25731190489306466,0.23694392977363277,0,,760.0,218.0,10.0
naive_baseline,house6,UK-DALE,standard,StandardScaled,0.4085243678423696,1.0230801209688052,0.10644913516817056,0,,,,
adaptive_ewma_baseline,house6,UK-DALE,standard,StandardScaled,0.5627177821417229,1.0242892796407397,0.10433574593638917,0,0.05,,,
mlp_regression,house6,UK-DALE,standard,StandardScaled,0.19410551946216348,0.37411006712521777,0.8805190196938867,0,,105861.0,30247.0,10.0
naive_baseline,house7,UK-DALE,standard,StandardScaled,0.3925089215596941,0.8979998524398866,0.06115268737647017,0,,,,
adaptive_ewma_baseline,house7,UK-DALE,standard,StandardScaled,0.4964043873116301,0.8941140151910235,0.06926029354369823,0,0.05,,,
mlp_regression,house7,UK-DALE,standard,StandardScaled,0.1887289873095649,0.39536028544920027,0.8180179637767373,0,,13427.0,3837.0,11.0
naive_baseline,house8,UK-DALE,standard,StandardScaled,0.38856583606870326,0.8773153419584933,0.4058613419208853,0,,,,
adaptive_ewma_baseline,house8,UK-DALE,standard,StandardScaled,0.6991739273027061,1.0501974072787368,0.14863018900074776,0,0.05,,,
mlp_regression,house8,UK-DALE,standard,StandardScaled,0.41003573821110895,0.7939406055465228,0.513422087136912,0,,2468.0,706.0,6.0
naive_baseline,house9,UK-DALE,standard,StandardScaled,0.3504975137341532,0.7176955705035442,0.39929684832763546,0,,,,
adaptive_ewma_baseline,house9,UK-DALE,standard,StandardScaled,0.5487393535713166,0.8755826056110292,0.10592566292608407,0,0.05,,,
mlp_regression,house9,UK-DALE,standard,StandardScaled,0.3037845076890162,0.5984899728493837,0.5822724334508511,0,,10475.0,2994.0,8.0
naive_baseline,house10,UK-DALE,standard,StandardScaled,0.34313773574265605,0.8294852068431345,0.4192901424712734,0,,,,
adaptive_ewma_baseline,house10,UK-DALE,standard,StandardScaled,0.5988466871423439,1.0101701671145489,0.13874652938515386,0,0.05,,,
mlp_regression,house10,UK-DALE,standard,StandardScaled,0.26474919265293156,0.5443794456950553,0.7498817703815633,0,,8873.0,2536.0,11.0
