round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,165.043463,135.529602,165.043463,0.234984,679,195,watt,2026-05-18T20:52:12
2,155.561308,123.970609,155.561308,0.320363,679,195,watt,2026-05-18T20:52:12
3,150.82301,118.103131,150.82301,0.361135,679,195,watt,2026-05-18T20:52:12
4,151.894848,119.136225,151.894848,0.352022,679,195,watt,2026-05-18T20:52:13
5,152.747674,119.23896,152.747674,0.344726,679,195,watt,2026-05-18T20:52:13
6,151.995521,117.812794,151.995521,0.351163,679,195,watt,2026-05-18T20:52:13
7,154.00611,119.978856,154.00611,0.333884,679,195,watt,2026-05-18T20:52:14
8,154.76682,120.58148,154.76682,0.327287,679,195,watt,2026-05-18T20:52:14
9,155.113495,120.772173,155.113495,0.32427,679,195,watt,2026-05-18T20:52:14
10,156.165391,121.902693,156.165391,0.315074,679,195,watt,2026-05-18T20:52:15
